SKU,MODEL,Synonym,PART BRAND,Item Name,Synonmys_1,Synonmys_2,Warehouse Name,Stock On Hand,Price without GST,GST,Price with GST,,,,,,,,,,,,,,
SKU00335237,VJ81,SB81,IMPORTED,Rock Breaker Pad Set,PAD SET,PAD SET,Pune Warehouse,1,12653,18%,14930,,,,,,,,,,,,,,
SKU00335176,VJ40,SB40,IMPORTED,Rock Breaker Pad Set,PAD SET,PAD SET,Pune Warehouse,11,1441,18%,1700,,,,,,,,,,,,,,
SKU00334340,VJ40,SB40,IMPORTED,ROCK BREAKER PAD SET,PAD SET,PAD SET,YL SmartCity CDC,1,14246,18%,16810,,,,,,,,,,,,,,
SKU00216565,VJ43,SB43,IMPORTED,ROCK BREAKER PIN & BUSH (Pin OD-50MM),BRACKET PIN & BUSH (Pin OD-50MM),BRACKET PIN & BUSH (Pin OD-50MM),Pune Warehouse,1,7475,18%,8820,,,,,,,,,,,,,,
SKU00218443,VJ81,SB81,IMPORTED,ROCK BREAKER PIN & BUSH SET,BRACKET PIN & BUSH SET,BRACKET PIN & BUSH SET,Pune Warehouse,3,11339,18%,13380,,,,,,,,,,,,,,
SKU00334094,VJ43,SB43,IMPORTED,ROCK BREAKER PIN (45*370mm),BRACKET PIN,BRACKET PIN,Pune Warehouse,24,1153,18%,1360,,,,,,,,,,,,,,
SKU00218451,VJ43,SB43,IMPORTED,Rock Breaker Seal Kit,SEAL KIT,SEAL KIT,Pune Warehouse,2,1153,18%,1360,,,,,,,,,,,,,,
SKU00218727,VJ43,SB43,IMPORTED,ROCKBREAKER BUSH SET,FRONT HEAD BUSH SET,FRONT HEAD BUSH SET,Pune Warehouse,11,3102,18%,3660,,,,,,,,,,,,,,
SKU00217504,VJ40,SB40,IMPORTED,ROCKBREAKER BUSH SET,FRONT HEAD BUSH SET,FRONT HEAD BUSH SET,Pune Warehouse,10,2068,18%,2440,,,,,,,,,,,,,,
SKU00334688,VJ43,SB43,VAJRA,ROCKBREAKER END HOSE,ROCK BREAKER  HYDRAULIC HOSE,ROCK BREAKER  HYDRAULIC HOSE,Pune Warehouse,93,5178,18%,6110,,,,,,,,,,,,,,
SKU00334693,VJ43,SB43,AFTER MARKET,ROCKBREAKER FRONT HEAD,FRONT HEAD,FRONT HEAD,Pune Warehouse,1,36686,18%,43290,,,,,,,,,,,,,,
SKU00334626,VJ43,SB43,IMPORTED,Rockbreaker Pin,BRACKET PIN,BRACKET PIN,Pune Warehouse,4,1153,18%,1360,,,,,,,,,,,,,,
SKU00218446,VJ40,SB40,IMPORTED,Rockbreaker Piston,ROCK BREAKER PISTON,ROCK BREAKER PISTON,Pune Warehouse,3,9203,18%,10860,,,,,,,,,,,,,,
SKU00281111,VJ30,SB30,VAJRA,Rockbreaker Piston,ROCK BREAKER PISTON,ROCK BREAKER PISTON,Pune Warehouse,2,20127,18%,23750,,,,,,,,,,,,,,
SKU00336131,VJ131,SB121,IMPORTED,ROCKBREAKER SEAL KIT,SEAL KIT,SEAL KIT,Not available,1,19551,18%,23070,,,,,,,,,,,,,,
SKU00335107,VJ43,SB43,IMPORTED,ROCKBREAKER THROUGH BOLT,THROUGH BOLT,THROUGH BOLT,Pune Warehouse,17,1093,18%,1290,,,,,,,,,,,,,,
SKU00335106,VJ40,SB40,IMP,ROCKBREAKER THROUGH BOLT,THROUGH BOLT,THROUGH BOLT,Pune Warehouse,9,839,18%,990,,,,,,,,,,,,,,
SKU00335105,VJ40,SB40,IMP,ROCKBREAKER THROUGH BOLT,THROUGH BOLT,THROUGH BOLT,YL SmartCity CDC,2,839,18%,990,,,,,,,,,,,,,,
SKU00335900,VJ81,SB81,IMPORTED,ROD PIN BAR,TOOL PIN,TOOL PIN,Pune Warehouse,12,576,18%,680,,,,,,,,,,,,,,
SKU00336128,VJ43,SB43,IMPORTED,Rubber Set,RUBBER BOOT SET,RUBBER BOOT SET,Pune Warehouse,2,3449,18%,4070,,,,,,,,,,,,,,
SKU00335108,VJ50,SB50,IMPORTED,Rubber Set,RUBBER BOOT SET,RUBBER BOOT SET,Pune Warehouse,4,4025,18%,4750,,,,,,,,,,,,,,
SKU00335216,VJ131,SB121,IMPORTED,SB131 PLUS PAD,PLUS PAD,PLUS PAD,Pune Warehouse,3,11500,18%,13570,,,,,,,,,,,,,,
SKU00218442,VJ131,SB121,IMPORTED,SB131 PLUS PAD,PLUS PAD,PLUS PAD,Not available,1,11500,18%,13570,,,,,,,,,,,,,,
SKU00281054,VJ20,SB20,IMPORTED,SB20 BRACKET,ROCK BREAKER BRACKET,ROCK BREAKER BRACKET,Pune Warehouse,2,11500,18%,13570,,,,,,,,,,,,,,
SKU00216566,VJ20,SB20,KEDIAS,SB20 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Not available,2,1492,18%,1760,,,,,,,,,,,,,,
SKU00281116,VJ30,SB30,IMPORTED,SB30 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,3,1729,18%,2040,,,,,,,,,,,,,,
SKU00334975,VJ30,SB30,IMPORTED,SB30 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,YL SmartCity CDC,1,1729,18%,2040,,,,,,,,,,,,,,
SKU00335901,VJ30,SB30,IMPORTED,SB30 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Not available,1,1729,18%,2040,,,,,,,,,,,,,,
SKU00217277,VJ43,SB43,IMPORTED,SB43 BREAKER BRACKET,BREAKER BRACKET,BREAKER BRACKET,Pune Warehouse,1,92000,18%,108560,,,,,,,,,,,,,,
SKU00217886,VJ40,SB40,IMPORTED,SB43 ROCK BREAKER BISCUIT,Biscuit,Biscuit,Pune Warehouse,18,517,18%,610,,,,,,,,,,,,,,
SKU00336129,VJ43,SB43,KRIVI,SB43 ROCK BREAKER BISCUIT,Biscuit,Biscuit,Pune Warehouse,3,483,18%,570,,,,,,,,,,,,,,
SKU00335918,VJ43,SB43,IMPORTED,SB43 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,2,1153,18%,1360,,,,,,,,,,,,,,
SKU00335920,VJ43,SB43,IMPORTED,SB43 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Not available,1,1153,18%,1360,,,,,,,,,,,,,,
SKU00335919,VJ50,SB50,IMPORTED,SB50 ROCK BREAKER SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,3,1169,18%,1380,,,,,,,,,,,,,,
SKU00205335,VJ50,SB50,IMPORTED,SB50 ROCK BREAKER SIDE PAD,ROCK BREAKER SEAL KIT,ROCK BREAKER SEAL KIT,Pune Warehouse,13,686,18%,810,,,,,,,,,,,,,,
SKU00335247,VJ50,SB50,IMPORTED,"SB50 SUPPORT BAR PAD (L=180MM,W=40MM,HOLE DIA-27MM, HOLE TO HOLE=35MM)",SIDE SUPPORT BOLT PAD,SIDE SUPPORT BOLT PAD,Pune Warehouse,3,398,18%,470,,,,,,,,,,,,,,
SKU00203995,VJ81,SB81,IMPORTED,SB81 BISCUIT LOCKING PIN,Biscuit,Biscuit,Pune Warehouse,22,229,18%,270,,,,,,,,,,,,,,
SKU00217278,VJ81,SB81,IMPORTED,SB81 BISCUIT LOCKING PIN,Biscuit,Biscuit,YL SmartCity CDC,4,229,18%,270,,,,,,,,,,,,,,
SKU00216579,VJ81,SB81,IMPORTED,SB81 BISCUIT WITH HOLE,Biscuit with hole,Biscuit with hole,Pune Warehouse,12,2186,18%,2580,,,,,,,,,,,,,,
SKU00336130,VJ81,SB81,IMPORTED,SB81 BOTTOM PAD,BOTTOM PAD,BOTTOM PAD,YL SmartCity CDC,1,4025,18%,4750,,,,,,,,,,,,,,
SKU00335995,VJ81,SB81,IMPORTED,SB81 Breaker Collar Bush,Collar Bush,Collar Bush,YL SmartCity CDC,1,2297,18%,2710,,,,,,,,,,,,,,
SKU00335890,VJ81,SB81,IMPORTED,SB81 Breaker Pin Lock Bolt,BRACKET PIN LOCKING BOLT,BRACKET PIN LOCKING BOLT,Pune Warehouse,4,288,18%,340,,,,,,,,,,,,,,
SKU00281109,VJ81,SB81,IMPORTED,SB81 Breaker Pin Lock Collar,STOPPER RING,STOPPER RING,YL SmartCity CDC,2,517,18%,610,,,,,,,,,,,,,,
SKU00216786,VJ81,SB81,IMPORTED,SB81 CYLINDER BODY,CYLINDER BODY,CYLINDER BODY,Not available,1,86254,18%,101780,,,,,,,,,,,,,,
SKU00216787,VJ81,SB81,IMPORTED,SB81 PLUS PAD,PLUS PAD,PLUS PAD,Pune Warehouse,2,9203,18%,10860,,,,,,,,,,,,,,
SKU00217279,VJ81,SB81,IMPORTED,SB81 PLUS PAD,PLUS PAD,PLUS PAD,YL SmartCity CDC,1,9203,18%,10860,,,,,,,,,,,,,,
SKU00217280,VJ81,SB81,VAJRA,SB81 Rock Breaker Piston,ROCK BREAKER PISTON,ROCK BREAKER PISTON,YL SmartCity CDC,1,32203,18%,38000,,,,,,,,,,,,,,
SKU00335998,VJ81,SB81,VAJRA,SB81 Rock Breaker Piston,ROCK BREAKER PISTON,ROCK BREAKER PISTON,Not available,1,32203,18%,38000,,,,,,,,,,,,,,
SKU00337255,VJ81,SB81,VAJRA,SB81 Rock Breaker Piston,ROCK BREAKER PISTON,ROCK BREAKER PISTON,Not available,2,32203,18%,38000,,,,,,,,,,,,,,
SKU00216571,VJ81,SB81,IMPORTED,SB81 ROCKBREAKER BUSH SET,FRONT HEAD BUSH SET,FRONT HEAD BUSH SET,Pune Warehouse,6,7475,18%,8820,,,,,,,,,,,,,,
SKU00335938,VJ81,SB81,SVS,SB81 SEAL KIT,SEAL KIT,SEAL KIT,Pune Warehouse,7,1729,18%,2040,,,,,,,,,,,,,,
SKU00335135,VJ81,SB81,SVS,SB81 SEAL KIT,SEAL KIT,SEAL KIT,YL SmartCity CDC,3,1729,18%,2040,,,,,,,,,,,,,,
SKU00335999,VJ81,SB81,SVS,SB81 SIDE PAD,SIDE PAD,SIDE PAD,YL SmartCity CDC,10,1381,18%,1630,,,,,,,,,,,,,,
